MARKET,NUMER SKLEPU,IP
Koziegłowy 1,10801,10.88.1.100
Skokowa 1,10802,10.88.2.100
Czermin (Podk) 1,10805,10.88.5.100
Nieszawa 1,10806,10.88.6.100
Ostroszowice 1,10807,10.88.7.100
Otorowo (Wlkp) 1,10808,10.88.8.100
Pecna 1,10809,10.88.9.100
Pęczniew 1,10810,10.88.10.100
Poraj 1,10811,10.88.11.100
Kluki (Łódź) 1,10812,10.88.12.100
Siesławice 1,10813,10.88.13.100
Trzebiechów 1,10814,10.88.14.100
Tuplice 1,10815,10.88.15.100
Warta Bolesławiecka 1,10816,10.88.16.100
Gliwice 1,10818,10.88.18.100
Topola Królewska 1,10819,10.88.19.100
Tychy 2,10820,10.88.20.100
Bucz 1,10821,10.88.21.100
Budzów (dol)1,10822,10.88.22.100
Chobienia 1,10823,10.88.23.100
Dominowo 1,10824,10.88.24.100
Głogów 2,10825,10.88.25.100
Kolonia Wolanów 1,10826,10.88.26.100
Lądek Zdrój 2,10827,10.88.27.100
Orpiszew 1,10830,10.88.30.100
Szczecinek 1,10831,10.88.31.100
Świercze 1,10832,10.88.32.100
Ostrów 15,10834,10.88.34.100
Benice 1,10835,10.88.35.100
Bychlew 1,10836,10.88.36.100
Golub-Dobrzyń 1,10837,10.88.37.100
Gościno 1,10838,10.88.38.100
